"","site","Survey","date","year","plot","sp","sp2","wdt_1","wdt_2","ht","area","area_m","notes","X","X.1","X.2"
"61","Mt Cope 2","1990s","6/1/1993",1990,6,"Acrothamnus montanus","Acrothamnus",30,0,19,706,8375,0,7068375,"",NA
"62","Mt Cope 2","1990s","6/1/1993",1990,10,"Acrothamnus montanus","Acrothamnus",70,0,47,3848,3375,0,38483375,"",NA
"63","Mt Cope 2","1990s","6/1/1993",1990,11,"Acrothamnus montanus","Acrothamnus",10,0,15,78,5375,0,785375,"",NA
"64","Mt Cope 2","1990s","6/1/1993",1990,11,"Acrothamnus montanus","Acrothamnus",17,0,17,226,973375,0,22697338,"",NA
"65","Mt Cope 2","1990s","6/1/1993",1990,11,"Acrothamnus montanus","Acrothamnus",19,0,17,283,520375,0,28352038,"",NA
"66","Mt Cope 2","1990s","6/1/1993",1990,29,"Acrothamnus montanus","Acrothamnus",21,0,18,346,350375,0,34635038,"",NA
"67","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",1,1,5,0,785375,7,8,"5.40E+00",NA
"68","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",1,1,6,0,785375,7,8,"5.40E+00",NA
"69","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",3,5,10,7,68375,0,706838,"",NA
"70","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",7,12,20,38,483375,0,3848338,"",NA
"71","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",8,12,14,50,264,0,50264,"",NA
"72","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",8,15,10,50,264,0,50264,"",NA
"73","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",9,9,14,63,615375,0,6361538,"",NA
"74","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",10,18,12,78,5375,0,785375,"",NA
"75","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",15,26,30,176,709375,0,17670938,"",NA
"76","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",18,25,20,254,4615,0,2544615,"",NA
"77","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",22,39,29,380,1215,0,3801215,"",NA
"78","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",24,43,33,452,376,0,452376,"",NA
"79","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",25,20,23,490,859375,0,49085938,"",NA
"80","Heathy Spur 2","1990s","30/3/1995",1990,2,"Acrothamnus montanus","Acrothamnus",7,8,12,38,483375,0,3848338,"",NA
"81","Heathy Spur 2","1990s","30/3/1995",1990,2,"Acrothamnus montanus","Acrothamnus",8,9,10,50,264,0,50264,"",NA
"82","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",3,5,9,7,68375,0,706838,"",NA
"83","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",3,3,4,7,68375,0,706838,"",NA
"84","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",3,5,8,7,68375,0,706838,"",NA
"85","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",5,8,9,19,634375,0,1963438,"",NA
"86","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",5,8,10,19,634375,0,1963438,"",NA
"87","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",5,12,10,19,634375,0,1963438,"",NA
"88","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",7,10,12,38,483375,0,3848338,"",NA
"89","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",8,9,8,50,264,0,50264,"",NA
"90","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",10,13,11,78,5375,0,785375,"",NA
"91","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",12,20,16,113,94,0,113094,"",NA
"92","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",15,12,10,176,709375,0,17670938,"",NA
"93","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",17,25,22,226,973375,0,22697338,"",NA
"94","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",75,99,99,22,4417,734375,0,"441773438",NA
"95","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",1,2,3,0,785375,7,8,"5.40E+00",NA
"96","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",2,2,4,3,1415,0,31415,"",NA
"97","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",3,10,5,7,68375,0,706838,"",NA
"98","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",4,10,9,12,566,0,12566,"",NA
"99","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",4,6,8,12,566,0,12566,"",NA
"100","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",4,5,5,12,566,0,12566,"",NA
"101","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",6,10,10,28,2735,0,282735,"",NA
"102","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",6,10,12,28,2735,0,282735,"",NA
"103","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",8,7,6,50,264,0,50264,"",NA
"104","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",12,18,12,113,94,0,113094,"",NA
"105","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",12,15,17,113,94,0,113094,"",NA
"106","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",29,50,18,660,500375,0,66050038,"",NA
"107","Heathy Spur 2","1990s","30/3/1995",1990,5,"Acrothamnus montanus","Acrothamnus",4,5,7,12,566,0,12566,"",NA
"108","Heathy Spur 2","1990s","30/3/1995",1990,5,"Acrothamnus montanus","Acrothamnus",17,23,15,226,973375,0,22697338,"",NA
"109","Heathy Spur 2","1990s","30/3/1995",1990,5,"Acrothamnus montanus","Acrothamnus",99,99,90,37,7852,179329,0,"785217933",NA
"110","Heathy Spur 2","1990s","30/3/1995",1990,6,"Acrothamnus montanus","Acrothamnus",10,15,14,78,5375,0,785375,"",NA
"111","Heathy Spur 2","1990s","30/3/1995",1990,7,"Acrothamnus montanus","Acrothamnus",6,10,13,28,2735,0,282735,"",NA
"112","Heathy Spur 2","1990s","30/3/1995",1990,8,"Acrothamnus montanus","Acrothamnus",34,45,28,907,8935,0,9078935,"",NA
"113","Heathy Spur 2","1990s","30/3/1995",1990,9,"Acrothamnus montanus","Acrothamnus",40,55,32,1256,6,0,12566,"",NA
"114","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",2,4,5,3,1415,0,31415,"",NA
"115","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",2,4,6,3,1415,0,31415,"",NA
"116","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",3,5,8,7,68375,0,706838,"",NA
"117","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",6,9,10,28,2735,0,282735,"",NA
"118","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",7,18,14,38,483375,0,3848338,"",NA
"119","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",7,10,12,38,483375,0,3848338,"",NA
"120","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",80,99,99,30,5026,4,0,"50264",NA
"121","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",5,6,6,19,634375,0,1963438,"",NA
"122","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",8,14,10,50,264,0,50264,"",NA
"123","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",11,14,12,95,30375,0,9503038,"",NA
"124","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",12,23,20,113,94,0,113094,"",NA
"125","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",30,35,22,706,8375,0,7068375,"",NA
"126","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",1,1,2,0,785375,7,8,"5.40E+00",NA
"127","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",1,1,3,0,785375,7,8,"5.40E+00",NA
"128","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",2,3,5,3,1415,0,31415,"",NA
"129","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",3,6,7,7,68375,0,706838,"",NA
"130","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",11,20,16,95,30375,0,9503038,"",NA
"131","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",23,31,18,415,463375,0,41546338,"",NA
"132","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",33,57,25,855,273375,0,85527338,"",NA
"133","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",3,5,8,7,68375,0,706838,"",NA
"134","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",3,8,7,7,68375,0,706838,"",NA
"135","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",5,7,8,19,634375,0,1963438,"",NA
"136","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",6,15,13,28,2735,0,282735,"",NA
"137","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",6,9,10,28,2735,0,282735,"",NA
"138","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",14,23,19,153,9335,0,1539335,"",NA
"139","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",14,18,16,153,9335,0,1539335,"",NA
"140","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",17,19,14,226,973375,0,22697338,"",NA
"141","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",18,18,23,254,4615,0,2544615,"",NA
"142","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",20,17,23,314,15,0,31415,"",NA
"143","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",25,20,20,490,859375,0,49085938,"",NA
"144","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",93,99,99,50,6792,708375,0,"679270838",NA
"145","Heathy Spur 2","1990s","30/3/1995",1990,14,"Acrothamnus montanus","Acrothamnus",15,28,15,176,709375,0,17670938,"",NA
"146","Heathy Spur 2","1990s","30/3/1995",1990,14,"Acrothamnus montanus","Acrothamnus",20,33,15,314,15,0,31415,"",NA
"147","Heathy Spur 2","1990s","30/3/1995",1990,15,"Acrothamnus montanus","Acrothamnus",14,19,12,153,9335,0,1539335,"",NA
"148","Heathy Spur 2","1990s","30/3/1995",1990,15,"Acrothamnus montanus","Acrothamnus",77,80,31,4656,488375,0,465648838,"",NA
"149","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",5,10,16,19,634375,0,1963438,"",NA
"150","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",10,25,18,78,5375,0,785375,"",NA
"151","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",10,12,16,78,5375,0,785375,"",NA
"152","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",10,25,15,78,5375,0,785375,"",NA
"153","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",38,45,30,1134,815,0,11340815,"",NA
"154","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",45,66,27,1590,384375,0,159038438,"",NA
"155","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",60,78,29,2827,35,0,282735,"",NA
"156","Heathy Spur 2","1990s","30/3/1995",1990,17,"Acrothamnus montanus","Acrothamnus",2,4,5,3,1415,0,31415,"",NA
"157","Heathy Spur 2","1990s","30/3/1995",1990,17,"Acrothamnus montanus","Acrothamnus",3,5,6,7,68375,0,706838,"",NA
"158","Heathy Spur 2","1990s","30/3/1995",1990,17,"Acrothamnus montanus","Acrothamnus",7,8,8,38,483375,0,3848338,"",NA
"159","Heathy Spur 2","1990s","30/3/1995",1990,17,"Acrothamnus montanus","Acrothamnus",15,22,15,176,709375,0,17670938,"",NA
"160","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",4,5,7,12,566,0,12566,"",NA
"161","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",6,9,8,28,2735,0,282735,"",NA
